device;id_30;Deviceyear;num_unique;ID;YEAR;POP1;POP;SEXE;PRODUCTION_envol;START;END;ECLO;ENVOL;PERIOD;CHICKAGE;n_all_bhv;days_available;n_foraging;ratio_foraging_all;HRker95_allhadjust;HRker95_foragingHref;Hrker_foraging_hadjust;Mean_nest_dist;prop_for_month;ODBA.mG.;daily_mean_ODBA;SPEI_har_pond
190659;190659_2022_2;190659_2022;11;11_22_2;2022;44;1;F;3;20/05/2022;18/06/2022;19/04/2022;18/06/2022;2;1;1014;29,69;718;0,71;854,9043244;1075,436411;995,9878266;1155,32;70,81;438,58;0,44;-0,63
190659;190659_2023_1;190659_2023;12;12_23_1;2023;44;1;F;4;21/04/2023;21/05/2023;21/04/2023;20/06/2023;1;0;980;30,64;377;0,38;2222,25316;4771,201632;4771,201632;2096,65;38,47;248,23;0,25;0,76
190659;190659_2023_2;190659_2023;12;12_23_2;2023;44;1;F;4;22/05/2023;20/06/2023;21/04/2023;20/06/2023;2;1;1017;29,71;570;0,56;703,1430539;976,1958896;675,2694939;2230,79;56,05;372,53;0,37;-0,3
190664;190664_2020_1;190664_2020;13;13_20_1;2020;44;1;M;3;20/04/2020;20/05/2020;20/04/2020;19/06/2020;1;0;980;30,64;294;0,3;702,9385342;1766,545061;1560,950634;966,04;30;216,71;0,22;1,03
190664;190664_2020_2;190664_2020;13;13_20_2;2020;44;1;M;3;21/05/2020;19/06/2020;20/04/2020;19/06/2020;2;1;1021;29,71;449;0,44;2466,837034;3902,113393;1061,644076;3828,62;43,98;330,79;0,33;1,13
190664;190664_2021_1;190664_2021;14;14_21_1;2021;44;1;M;2;15/04/2021;15/05/2021;15/04/2021;14/06/2021;1;0;964;30,64;259;0,27;4593,652206;11236,12028;8800,280229;7290,11;26,87;247,35;0,25;-0,82
190664;190664_2021_2;190664_2021;14;14_21_2;2021;44;1;M;2;16/05/2021;14/06/2021;15/04/2021;14/06/2021;2;1;1011;29,7;443;0,44;6458,8225;9851,431532;7189,725609;7963,25;43,82;387,41;0,39;-0,18
190664;190664_2022_1;190664_2022;15;15_22_1;2022;44;1;M;3;22/04/2022;22/05/2022;22/04/2022;21/06/2022;1;0;986;30,65;349;0,35;4454,734052;7196,867908;5993,901216;4275,8;35,4;309,82;0,31;-0,85
190664;190664_2022_2;190664_2022;15;15_22_2;2022;44;1;M;3;23/05/2022;21/06/2022;22/04/2022;21/06/2022;2;1;1025;29,71;551;0,54;6760,280566;10411,04722;7924,914673;4504,34;53,76;419,34;0,42;-0,57
190665;190665_2020_1;190665_2020;16;16_20_1;2020;44;1;M;3;18/04/2020;08/05/2020;09/04/2020;08/06/2020;1;0;628;20,17;206;0,33;1558,368811;2852,636386;2297,948166;2891,62;32,8;243,61;0,24;1,17
190665;190665_2020_2;190665_2020;16;16_20_2;2020;44;1;M;3;09/05/2020;08/06/2020;09/04/2020;08/06/2020;2;1;1032;30,68;504;0,49;3956,162529;5146,373133;5146,373133;2510,24;48,84;342,06;0,34;0,99
190665;190665_2021_1;190665_2021;17;17_21_1;2021;44;1;M;3;24/04/2021;24/05/2021;24/04/2021;23/06/2021;1;0;991;30,65;321;0,32;2879,812826;4340,094434;3185,234778;3058,77;32,39;245,97;0,25;-0,82
